question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
"Will Taylor Swift say ""Travis"" or ""Kelce"" 3+ times during Tonight Show on October 6?",Yes,No,0.07,5,2.24,2.24,2.24,2.24,44.620000000000005,0.05,20,0.0,0.0,0.0,2.74,19.16,12.73,12.73,0.43,0.5,0.46,4.5,0.01,False,will-taylor-swift-say-travis-or-kelce-3-times-during-tonight-show-on-october-6,92201270321854630753667501219003963268160040324853654265041095634792138176678,21330426234098981628921909078805861748177161447136442497552301419160922566936,0x367f74e134ce24b80fd8bd3555f132399c81729d6f78426a180c8dc47692abff
Will Trump sell 0 Gold Cards in 2025?,Yes,No,0.030000000000000027,10,2.23,2.24,2.29,2.18,11.59,0.19,100,7.55,5.47,4.45,3.19,2.27,3.44,5.99,0.63,0.66,0.64,3.5,0.01,True,will-trump-sell-0-gold-cards-in-2025,95197758690536781344967069481835822467121525130144169973322994558549635662278,109515911432648770277285602531582027307775296360446797986775280879694624466477,0x777c48a36a064675a0a95112c12f54cda0b1caf9a64f7450fde31a8a8212af5a
Will Trump meet with Putin by December 31?,Yes,No,0.019999999999999962,10,2.21,2.22,2.0,2.45,49.620000000000005,0.04,200,7.99,6.79,7.04,35.11,25.01,13.19,12.24,0.28,0.3,0.29,3.5,0.01,False,will-trump-meet-with-putin-by-december-31,54443791163475307695238529835526401448259679457783917862775033043535379578184,55974366657597755371068524619727549828174999022278064763312724516630330720484,0xf8ad779f49fc9051a44de57a22b2ffe8608b0a2a7de46f728cbd6bce81a5bc54
Will the Fed Cut–Cut–Cut in the next three decisions (Oct–Dec–Jan)?,Yes,No,0.02999999999999997,10,2.16,2.16,2.32,2.01,22.42,0.1,100,25.77,14.88,10.52,7.44,5.26,8.58,8.58,0.27,0.3,0.28,4.5,0.01,True,will-the-fed-cutcutcut-in-the-next-three-decisions-octdecjan,95417221270011105499568468828531867453865533932484364685389046548264041887861,101322769768415942646735830228475566436146317671120615766292718518675772773223,0xbfcc34365517ac4978e76ecd8287e37fd92e68b22a3db9b31129c5c37669c293
TikTok sale announced by October 31?,Yes,No,0.009999999999999995,10,2.14,2.16,1.9,2.42,63.47,0.03,200,0.0,28.52,25.13,29.6,23.4,22.14,18.47,0.1,0.11,0.1,3.5,0.01,False,tiktok-sale-announced-by-october-31,13044863280611742894073419957686319513241714206415178417470449959779045168458,87201807924707745181605831444289735936698026533751908902190029401695380439990,0x923c18fc3717918a566f1f8e907cbd3f9f9b3c386429ef5f56d431b7f374b1c4
Successful Ukrainian counterattack in Donbass by October 31?,Yes,No,0.009999999999999995,10,2.1,2.17,1.6,2.75,64.83,0.03,100,0.0,0.0,12.35,15.54,11.02,26.02,27.79,0.11,0.12,0.12,4.5,0.01,False,successful-ukrainian-counterattack-in-donbass-by-october-31,71146581683864228019790004044438184587551576307113832830383793953028237043371,81665786524506474837582744979924302799846560303868066262035695986019992224198,0xb4d87fbeebddd81ed54bf7c582af2c63d88e2bcc3ebb7dbf661a31b9e6828af5
Will Israel strike Yemen 0 times by October 31?,Yes,No,0.03,10,2.08,2.08,2.25,1.92,70.39999999999999,0.03,100,0.0,0.0,14.49,12.59,20.24,25.08,25.08,0.16,0.19,0.18,4.5,0.01,True,will-israel-strike-yemen-0-times-by-october-31,38950743964078585372460610942949248540307330937873341899281927598506326380971,105425585015436710722308974553995818964194442566510229294690326450265417556266,0xdf1a9a3fe267d5627ef9da3c7905ef483d447de599356444c08d13749fada668
Will the Fed Cut–Pause–Cut in the next three decisions (Oct–Dec–Jan)?,Yes,No,0.07,5,2.07,2.08,2.11,2.04,74.58,0.03,100,0.0,0.0,0.0,8.3,26.02,24.28,24.28,0.04,0.11,0.08,4.5,0.01,True,will-the-fed-cutpausecut-in-the-next-three-decisions-octdecjan,95510877660437583290146947734408725692601361776538718273856204289534461899913,101579148010332648351475682897445777029415475338669302087703052803341999527850,0x7787e03d77a515e0e774b4f9c77b838f9b4057c4f0c61327f4a593bafc9c2203
Kinetiq FDV above $2B one day after launch?,Yes,No,0.009999999999999995,10,2.06,2.06,2.1,2.03,52.489999999999995,0.04,50,0.0,23.65,16.72,14.45,12.67,19.91,19.91,0.08,0.09,0.08,3.5,0.01,False,kinetiq-fdv-above-2b-one-day-after-launch,47885895955580707904422637625743195826768942116432179556726897129145529644711,66955867148677588454649868431532634923233386424703948448043371124110280068425,0x8fc994499eb98d128337e4b3e3043facc8874d1e58e3043fb9d21e7d3bcd7416
Will the Fed Cut–Pause–Pause in the next three decisions (Oct–Dec–Jan)?,Yes,No,0.07,5,2.03,2.04,2.18,1.89,49.849999999999994,0.04,100,0.0,0.0,0.0,0.0,9.59,20.13,20.13,0.12,0.19,0.16,4.5,0.01,True,will-the-fed-cutpausepause-in-the-next-three-decisions-octdecjan,26691173191931734793658502471142148910637965379072705677117886642032241080707,113855128415705970649399240982200822169235962161837218811072520475070551658503,0xa0c6e058678a094c789cb57d203d42678c60d642123857f37f71e0155353bb04
Will  Doctors Without Borders (Médecins Sans Frontières) win the Nobel Peace Prize in 2025?,Yes,No,0.03,10,2.01,2.01,1.96,2.06,33.42,0.06,100,42.43,27.4,19.92,14.28,10.17,10.19,12.33,0.06,0.09,0.08,3.5,0.01,True,will-doctors-without-borders-mdecins-sans-frontires-win-the-nobel-peace-prize-in-2025,10103079109367431867552627331583724594396896699961599564483277730453465355937,65639401412168966433260966280933352493275727229784426505421078066690383435031,0xbe3877266e119ce1420166dded4f04146030ec78126bcc084f0f8dbf303e28b2
Will Michael B. Jordan be nominated for Best Actor at the 98th Academy Awards?,Yes,No,0.16000000000000003,4,2.0,2.0,2.0,2.0,10.15,0.2,100,0.0,11.37,8.14,5.8,4.11,1.56,4.48,0.69,0.85,0.76,4.5,0.01,False,will-michael-b-jordan-be-nominated-for-best-actor-at-the-98th-academy-awards,58833268991499526632201672003897796158554021477987418868843229130495678128765,80195769281671292496605667107826672350244938259276871340928788781974197161355,0x56b6ea1e2601b232df67cb8adf6400e1c017a0e2f5896c696b76a5a2a94d18fd
Will A House of Dynamite be nominated for Best Picture at the 98th Academy Awards?,Yes,No,0.13,4,2.0,2.0,2.0,2.0,104.98,0.02,100,27.74,28.16,47.63,66.01,46.69,31.45,26.84,0.38,0.51,0.44,4.5,0.01,False,will-a-house-of-dynamite-be-nominated-for-best-picture-at-the-98th-academy-awards,111117731063241502737446812840152265139805804424467534304632030040910475330006,30427076118966675122425662377961286016621073012262360382466983733415818782528,0xf71672196d10e35fa7ce580b330d0136d7b3496bf9670a51cc79c6f8c5347d05
Will Avatar: Fire and Ash be nominated for Best Picture at the 98th Academy Awards?,Yes,No,0.31,4,2.0,2.0,2.0,2.0,28.32,0.07,100,11.74,39.7,28.62,23.15,16.37,6.2,5.75,0.32,0.63,0.48,4.5,0.01,False,will-avatar-fire-and-ash-be-nominated-for-best-picture-at-the-98th-academy-awards,26752422520921492260084934364331451025523181005583538520300009087406078763353,24022071215715052267728086599318759985446783124719692344663080017304640249087,0xda5c2a11810e424290f83975af524e94a021cd858c182ecefdca2fbb030b9793
Will Wavel Ramkalawan win the 2025 Seychelles presidential election?,Yes,No,0.02999999999999997,10,2.0,2.07,2.61,1.53,41.8,0.05,100,0.0,4.01,5.07,4.18,3.67,10.25,22.88,0.33,0.36,0.34,4.5,0.01,True,will-wavel-ramkalawan-win-the-2025-seychelles-presidential-election,42072487654354660536729479058090820771568840744421644100986291157043418270548,99165185483273097183861159149218744133620859991608869928779227805744609374611,0x024be9f69c53bd390e9c8c07e91b65051802213706c8b547c924ddc46eb4329b
"Will Trump say ""Bread"" in October?",Yes,No,0.09999999999999998,5,1.97,1.97,1.96,1.98,98.93,0.02,20,0.0,0.0,0.0,22.08,52.99,22.97,22.97,0.28,0.38,0.33,5.5,0.01,False,will-trump-say-bread-in-october,32903134757299553405949058236202375746771128957715583779418913427805103457190,46380696741028895395245314473867006435212153187936704343702868539947111655024,0x69cfe0d32d92fe2e4dab010800150b84b6e2e0838f61623d02360a1ac84c76b3
Will the Fed Cut–Cut–Pause in the next three decisions (Oct–Dec–Jan)?,Yes,No,0.03999999999999998,10,1.96,1.96,2.12,1.81,53.099999999999994,0.04,100,0.0,3.11,2.23,1.58,1.98,25.56,25.56,0.43,0.47,0.45,4.5,0.01,True,will-the-fed-cutcutpause-in-the-next-three-decisions-octdecjan,113401754986342384261044700457165882158632153698445535217371023842472815025478,81906419701908530974011339985097627770048267181648886108185004759027261509242,0x83db787ed2cb00d225178e66bc6ae4d22e8029f19390d2b78ded5aed978eead6
"Will Trump say ""Jeffrey Epstein"" in October?",Yes,No,0.09999999999999998,5,1.96,1.96,1.96,1.97,53.78,0.04,20,51.59,42.31,33.44,23.77,19.8,16.99,16.99,0.38,0.48,0.43,5.5,0.01,False,will-trump-say-jeffrey-epstein-in-october,25386602888108111138012549318559691008181455631141029109779914089432914154324,62292506113516283655260910720233686687502266324127515642215114069243276235588,0x5cdb1fa157c577dd27b94b1ade6e540c0bfc0859770ca275ecfd777f39f6bf19
"Will Taylor Swift say ""Pregnant"" during Tonight Show on October 6?",Yes,No,0.06,5,1.95,1.96,1.92,1.99,103.32,0.02,20,23.99,51.63,41.3,30.0,23.08,40.12,40.12,0.06,0.12,0.09,4.5,0.01,False,will-taylor-swift-say-pregnant-during-tonight-show-on-october-6,110307879820812017189926271055431308423975373467251921766549550377535118405944,70724353667353129759806426804789030139636515367510798944035011962299893262489,0x993bee34a2492c8a5ba1103f009b4bdb3ace0e307d0f0850a38fb704b710c6a9
Israel strikes Iran by October 31?,Yes,No,0.009999999999999981,70,1.95,2.66,4.47,0.85,63.540000000000006,0.03,200,0.0,0.0,12.83,16.09,20.24,20.1,20.64,0.14,0.15,0.14,3.5,0.01,False,israel-strikes-iran-by-october-31,245584508265384387566891337162031911911613259978211411036698288271390901408,67785302886554255554185754545236995268516081114301306537660246815925569660759,0x876e3f74017fff10b2677f8c0b9c7ddcf8f74f147eeee59fff71e7a1928edf19
Will Wicked: For Good win Best Production Design at the 98th Academy Awards?,Yes,No,0.29,5,1.94,2.0,2.5,1.51,67.25999999999999,0.03,50,157.82,95.79,68.64,48.87,34.68,16.29,16.29,0.0,0.29,0.14,4.5,0.01,True,will-wicked-for-good-win-best-production-design-at-the-98th-academy-awards,24525352592554225081724464611987659039984634248487119620480937338860382390847,83586321227543648373542145857654825330590508916730132925932754015677934810815,0x9ce42eeff7e99c45f91d6f797656f3cb6855215af4190ce45dd8b5de662c958e
"Will Trump say ""Drone war"" in October?",Yes,No,0.10000000000000003,5,1.94,1.94,1.91,1.98,38.86,0.05,20,0.0,0.0,11.02,11.45,16.8,11.03,11.03,0.29,0.39,0.34,5.5,0.01,False,will-trump-say-drone-war-in-october,47800141299050090751879520682018683452596013067693441003396599062687515920244,84718257418258901926618305873559484524162248209050001255141610632542936069979,0x0f4ae68cd26db59279f0a9a7be630416b94db7d92683e0bc08fafb12f6d918fd
Will Dr Patrick Herminie win the 2025 Seychelles presidential election?,Yes,No,0.030000000000000027,10,1.93,1.94,1.9,1.97,39.18,0.05,100,0.0,4.25,4.32,3.1,3.14,7.29,20.5,0.64,0.67,0.66,4.5,0.01,True,will-dr-patrick-herminie-win-the-2025-seychelles-presidential-election,42649594781421501095952356631614102969539784698128591250432879449713641772744,8541164753967751949715741590238855160440343119472782924201354600488966937981,0x85a4bf780f8172789a76db41b199d40e7551a4c515e6e368e907aed1140dd106
Grokipedia released by October 31?,Yes,No,0.019999999999999907,10,1.93,1.96,2.24,1.67,114.56,0.02,100,4.03,5.61,8.05,6.01,7.58,53.49,53.49,0.55,0.57,0.56,3.5,0.01,False,grokipedia-released-by-october-31,25648007219578045804032000678051406767929611988120553820476778549334331890422,45884869451137053609910848879043945595572616738705403506839362927353934854709,0x1eecefb21081705cb8b89061558098593f07793a42bd0e055a9a613f5fd70ed6
"Will Trump say ""Chile"" or ""New Zealand"" or ""Albania"" in October?",Yes,No,0.10000000000000003,5,1.93,1.93,1.89,1.97,24.64,0.08,20,0.0,0.0,0.0,5.67,7.42,8.61,8.61,0.36,0.46,0.41,5.5,0.01,False,will-trump-say-chile-or-new-zealand-or-albania-in-october,33308700497329632551957811651242321491963596449222821864017372168614519765711,26348826447723885419770767621965550305261568139719786882752410160497280841118,0x0d2e579265fa862954a5962efc64afe56230481219089bc42cc94cf394e3fec8
Will One Battle After Another win Best Adapted Screenplay at the 98th Academy Awards?,Yes,No,0.06999999999999995,5,1.92,1.92,1.99,1.85,24.76,0.08,50,0.0,0.0,0.0,0.0,0.0,12.38,12.38,0.53,0.6,0.56,4.5,0.01,True,will-one-battle-after-another-win-best-adapted-screenplay-at-the-98th-academy-awards,83963743356282340391866461269114349488849967593251113708981902143987736617824,104660132830863447775660673982248983192856282090561822851803757848239105707978,0xa417870f2a38c6c97ea5283e6a1091dda0530e0e97f24467ad996f278dd60c0d
Will Hamas disarm by December 31?,Yes,No,0.010000000000000009,40,1.88,2.1,1.15,3.06,47.900000000000006,0.04,100,0.0,0.0,0.0,10.1,14.14,17.14,16.33,0.35,0.36,0.36,3.5,0.01,False,will-hamaz-disarm-by-december-31,90745857659327148773609688807318558478201557095351383313162258694341091010927,33553945367166725251175374412602170037894165758025042506237379564547625385037,0x11db077700a35d7415b6198c5e5a53adcf1db1819a09831f7eaf148f88243c40
"Will Taylor Swift say ""Eras"" during Tonight Show on October 6?",Yes,No,0.05999999999999994,5,1.88,1.88,1.99,1.78,20.36,0.09,20,2.69,1.64,1.17,1.68,2.92,8.72,8.72,0.81,0.87,0.85,4.5,0.01,False,will-taylor-swift-say-eras-during-tonight-show-on-october-6,80434507645200437779531620042763428619710282472554689315026682975136238956616,66933901686200941911067734636147724113637230042206201923246811581104301524407,0x1b87d4b64ef563c68cff0277060a51d1929e4719241408bc7c8ea73866bcdddd
Will Belgium recognize Palestine in 2025?,Yes,No,0.020000000000000018,10,1.86,1.86,1.9,1.82,40.43,0.05,20,0.0,0.0,0.0,0.0,0.0,9.89,23.17,0.21,0.23,0.22,3.5,0.01,False,will-belgium-recognize-palestine-in-2025-171,51272687908388571495744246901427837485689074137807299723987891460017575735326,34403506038238243567032054721191716053604125365723885759062760402975324763175,0x1392be596898d55b5b123234812e0ba2838d3e3ee63f75eb39c96da77a9f3c82
"Will Taylor Swift say ""Sabrina"" or ""Carpenter"" during Tonight Show on October 6?",Yes,No,0.06000000000000005,5,1.84,1.84,1.78,1.9,19.98,0.09,20,11.74,13.21,9.9,9.13,7.54,6.22,6.22,0.71,0.77,0.74,4.5,0.01,False,will-taylor-swift-say-sabrina-or-carpenter-during-tonight-show-on-october-6,13964245805571988474201977359790836100659848444267068525599996758612439494557,80283556917957209274316052261608567571046007843284386382335227515334012502354,0xf810f1f1d1ab5a03dfff3a7fbc83513b5258f505f1a35d91c2a902b4f43347a7
"Will Angus King vote ""Yea"" on the next funding bill?",Yes,No,0.020000000000000018,10,1.83,1.91,2.47,1.35,46.08,0.04,100,0.0,0.0,0.0,1.28,20.06,13.01,13.01,0.77,0.79,0.78,3.5,0.01,False,will-angus-king-vote-yea-on-the-next-funding-bill-179,32312958398221045106516876792357158499295112828613607277871423317188156696546,92273859987743799438602135626393871426692948632312808277218075428116622604478,0x0e65ac45d12af61673ed92b0e65866d7b7fa58ce395c71cfc86d91e10af26ad4
Will One Battle After Another win Best Picture at the 98th Academy Awards?,Yes,No,0.010000000000000009,20,1.81,1.86,2.3,1.43,20.46,0.09,100,0.0,2.14,4.68,3.35,2.48,3.32,14.66,0.63,0.64,0.64,3.5,0.01,True,will-one-battle-after-another-win-best-picture-at-the-98th-academy-awards,68639196051170795150992485552561385006521521637825690332014642323694437969760,101818439776033928818471919550932857351051302350112396692573347503051307979709,0x66af911f31ceabb5f9a3ef9203a73f0b23d18aa81bbba7888dec440c622c2528
Israel strike on Yemen by October 15?,Yes,No,0.020000000000000018,10,1.8,1.8,1.91,1.69,82.13000000000001,0.02,200,0.0,0.0,0.0,13.96,11.73,35.2,35.2,0.37,0.39,0.38,4.5,0.01,False,israel-strike-on-yemen-by-october-15,82274867981522243999107395185123484644544999231650179497595146289965711249017,75436765630645453889950193540590561712959241096539346614328906902701723317922,0x4a346e1f2811126111889f4ef103a8054b52d6b21c796e9ad9a4733f4200c3ef
Will Google Gemini be #1 Free App in the US Apple App Store on October 10?,Yes,No,0.019999999999999997,10,1.78,1.94,1.15,2.74,111.17000000000002,0.02,100,41.51,25.2,18.06,22.37,37.63,36.77,36.77,0.04,0.06,0.05,4.5,0.01,True,will-google-gemini-be-1-free-app-in-the-us-apple-app-store-on-october-10,69949888786598819696202811078025310469665829411184641109867886937358880430360,43561594317056244995742555618552526466742796906539590340722321394242462459830,0xc82786fb5ee5599314a49ca06f402256407fa0f4e679ca5d5afb8ad368b18e0a
Will the highest temperature in London be 70°F or higher on October 7?,Yes,No,0.006,10,1.77,2.68,4.69,0.67,,nan,50,,,,,,,,0.001,0.007,0.0,3.5,0.001,True,will-the-highest-temperature-in-london-be-70f-or-higher-on-october-7,7511885849861444197570953760380623925031529390795930712222931222880259064106,55320544626359953128983820235192270979521248564637841588710135123893173762245,0x83111f397de016561e40c410b22a4a43de55491650bac8b9b196fc6879989312
Will Nancy Nocerino win Big Brother UK Series 22?,Yes,No,0.014000000000000002,20,1.73,1.85,2.49,1.2,244.55,0.01,20,0.0,0.0,0.0,0.0,61.69,91.43,91.43,0.011,0.025,0.02,4.5,0.001,True,will-nancy-nocerino-win-big-brother-uk-series-22,49745107755794129634997730572884661893678540640307618221689510187227460435999,52035182122555743084473853890239249367147592429401875027133450058106628040691,0xfa5b0294a3bb1b56eac92eeb4e227cc3c01cde0c40daec2eb74db465cce0cac6
Will Sora be the #1 Free App in the US Apple App Store on October 15?,Yes,No,0.02999999999999997,10,1.73,1.74,1.92,1.55,51.51,0.03,100,0.0,3.04,4.48,10.1,11.25,20.13,20.13,0.45,0.48,0.46,4.5,0.01,False,will-sora-be-the-1-free-app-in-the-us-apple-app-store-on-october-15,65022103087248959680097709298661777246180440935113884035117492292940310451782,18869919035913132600748251604939389129840233922265754998523970428689254054610,0xe1f7e5ed03ce122f841fb3e548a214b7a4e106fd2e3f24ce3023b1e0a11b097a
Will PH win the most seats in the 2026 Colombian Chamber of Representatives election?,Yes,No,0.06,5,1.72,1.72,1.64,1.8,57.67,0.03,200,0.0,0.0,9.8,7.83,20.2,16.72,14.71,0.25,0.31,0.28,3.5,0.01,True,will-ph-win-the-most-seats-in-the-2026-colombian-chamber-of-representatives-election,26861314707210975391560921636065609709310146403467415759479027899941028343646,102594859889415430461216247009357292908131260106502239238541638171365864567096,0x71da12db4aea759acbf68b2777c44b21caf6a5ee9ac335106ced647b53fb9a40
Will Frankenstein be nominated for Best Picture at the 98th Academy Awards?,Yes,No,0.07,4,1.7,1.7,1.74,1.66,42.57,0.04,100,10.7,8.74,6.18,4.37,3.78,18.88,19.91,0.29,0.36,0.32,4.5,0.01,False,will-frankenstein-be-nominated-for-best-picture-at-the-98th-academy-awards,36852205076021802880992220150026365273038233694349126365948855783682145152974,16907416273153555049870845409597711696838466453350945610501441609628956020064,0x22ebefd1cba27c5419e6a15cfb72e9d1fc603f4e46b1dfcb55d1f72df3ab8e18
Will The Life of a Showgirl’s first-week album sales be between 3750000 and 4000000?,Yes,No,0.023999999999999994,30,1.68,1.7,1.42,1.99,,nan,20,19.88,15.6,17.71,18.71,50.31,,,0.16,0.184,0.17,3.5,0.001,True,will-the-life-of-a-showgirls-first-week-album-sales-be-between-3750000-and-4000000,91360593933318445342550105346878730944259472545382822211961422855586468829165,102863531504046751096245070949887178905658846678495516869275810515737986044809,0xb3ed322902fbad68dd6205197526e839e28bc9bc09172c9689d2686775225340
Will Israel strike Yemen 2 times by October 31?,Yes,No,0.04999999999999999,5,1.65,1.66,1.62,1.69,99.69,0.02,50,0.0,0.0,16.67,23.87,29.39,35.15,35.15,0.2,0.25,0.22,4.5,0.01,True,will-israel-strike-yemen-2-times-by-october-31,39198849539424565983594973715347584386629506108656094194665406877755707623944,16765703078092766753759469951764698131620335370338783401420593768745744773317,0x33f7609a8174211b88ffa2da65df9958b3a7b6f7da867679066c11ed79a8252f
Yieldbasis FDV above $500M one day after launch?,Yes,No,0.020000000000000018,10,1.65,1.65,1.72,1.58,18.159999999999997,0.09,100,2.41,1.46,1.47,1.05,1.76,8.2,8.2,0.94,0.96,0.95,3.5,0.01,False,yieldbasis-fdv-above-500m-one-day-after-launch,89929638197244185373379732329638083128952034760604027997452658821971009933463,96752156503742958477338015551395572650101687476076494354544425462657040016069,0x35356aa62c062ec140a22760ff9aeb7a2d7079fa8aa5805319ad9579ad52e3b7
Will  Sudan's Emergency Response Rooms win the Nobel Peace Prize in 2025?,Yes,No,0.020000000000000018,10,1.64,1.71,2.2,1.22,24.67,0.07,100,0.0,7.6,6.98,5.68,11.18,6.99,9.32,0.25,0.27,0.26,3.5,0.01,True,will-sudans-emergency-response-rooms-win-the-nobel-peace-prize-in-2025,107116721199986728544350515767850503452587196196155244928960253457980345255778,54141977679316768170401915006170984666751988053332982834691482582147245612477,0x929411eddaf4454dbcfdb0eb01bd484c3b152183ffc6d4d271ed9ec10195ef27
Will Yulia Navalnaya win the Nobel Peace Prize in 2025?,Yes,No,0.009999999999999995,10,1.61,1.62,1.72,1.51,45.15,0.04,100,40.96,23.65,23.65,16.72,13.21,17.97,12.53,0.07,0.08,0.08,3.5,0.01,True,will-yulia-navalnaya-win-the-nobel-peace-prize-in-2025,1537581576825635563815694463555335805660509337858114774037691442227224293436,106111205062864156861922092204332471512671154399698963794308828267343216492829,0xb1de8e4de72cc5674815e0ac09adce40ba94f3dec50e64ea15918f109fa58339
John Brennan arrested by October 31?,Yes,No,0.010000000000000002,10,1.6,1.6,1.49,1.71,45.91,0.03,200,0.0,0.0,0.0,0.0,0.0,15.45,30.46,0.04,0.05,0.04,3.5,0.01,False,john-brennan-arrested-by-october-31,56408883339357025436168070331900278689566438275638157508045621219465324999208,101892949993228057824891744184872717112699329671256849771969622258541136531402,0x2994b7c4581d95761059744aa3e0112b446f46454f864953020a8a70017938aa
Will Delta Air Lines (DAL) beat quarterly earnings?,Yes,No,0.029999999999999916,10,1.57,1.6,1.34,1.85,17.580000000000002,0.09,200,0.0,1.68,3.41,5.92,4.2,5.4,7.98,0.8,0.83,0.82,3.5,0.01,False,dal-quarterly-earnings-nongaap-eps-2025-10-09-1pt52,80065717401962378679510621072775912147194629802976638407532933107238550767601,12978163259469013400784985517624043911322058196259556942456526848315450005146,0xca3f4b688bce03a24747d339ff30aa2cf45fff9addfd43ea11e1f20689ae091b
Will the GOP use 'Nuclear Option' to break filibuster by October 31?,Yes,No,0.009999999999999995,10,1.56,1.56,1.57,1.56,65.62,0.02,100,0.0,0.0,0.0,0.0,0.0,32.81,32.81,0.08,0.09,0.08,3.5,0.01,False,will-the-gop-use-nuclear-option-to-break-filibuster,88442855129885149024543201227706664814661346625493899681030371600726648679805,90914049672221675584037789544241388437515629309789547825807168594824357439359,0x78d1f924d301eeb716f4b0ac04dd9894198851e843b5268178b9e0494329dd02
Will Omnicom Group (OMC) beat quarterly earnings?,Yes,No,0.030000000000000027,10,1.55,1.57,1.8,1.34,7.1899999999999995,0.22,200,0.0,0.0,0.0,0.0,2.21,1.93,3.05,0.85,0.88,0.86,3.5,0.01,False,omc-quarterly-earnings-nongaap-eps-2025-10-14-2pt17,114934263313722638572792825747263771516608632964078337497582141979190117883037,52514440330182880925602822692350868751896570248708953479976051297002658811620,0xf6e24791df46f2dfb069dd01e3031db44976f8c9ea91960691a3b6649dfcacfe
Will Domino’s Pizza (DPZ) beat quarterly earnings?,Yes,No,0.039999999999999925,10,1.54,1.54,1.58,1.51,16.59,0.09,200,5.06,5.13,3.98,3.32,3.87,4.04,8.68,0.79,0.83,0.81,3.5,0.01,False,dpz-quarterly-earnings-gaap-eps-2025-10-14-3pt96,114014167971110546400912450020455187248962614853235253034093809206183048605634,11855629346278560933303097996186816238636465329561152493172559168463166738003,0xb4fc7085019ffdf2c9c0c70581d16340c4e99b85d091dfbec32340c81785eb62
Will Feyisola Akintoye win Big Brother UK Series 22?,Yes,No,0.017,20,1.52,1.6,2.13,1.08,202.35000000000002,0.01,20,0.0,0.0,0.0,40.71,42.95,79.7,79.7,0.013,0.03,0.02,4.5,0.001,True,will-feyisola-akintoye-win-big-brother-uk-series-22,71104463295656951528343471085349201609373334777291455325135927221614235852570,6108785340522904708287992902898998021330117448846168019738514551749130047618,0xb5b9f1c1cc18cd5e344a3d54f6111079f920e4b8945150df90c158ea13c354c7
Will the Detroit Tigers lose the World Series?,Yes,No,0.83,3,1.5,1.5,1.5,1.5,176.11,0.01,100,148.0,85.54,63.88,46.58,35.63,70.24,70.24,0.01,0.84,0.42,3.5,0.01,True,will-the-detroit-tigers-lose-the-world-series,223460392294260560682771223908363842225256870170917558883709004752105304842,19391318089575646871569487864961052701331398933348562287327540654882108847377,0x0362a910887d77b33f06310a5d73c121dedd232e7fd90033bd4d21351dafb9a7
Will the Seattle Mariners win the 2025 MLB World Series?,Yes,No,0.48,3,1.5,1.5,1.5,1.5,166.44,0.01,100,27.84,16.07,20.07,81.96,58.64,53.9,53.9,0.02,0.5,0.26,3.5,0.01,True,will-the-seattle-mariners-win-the-2025-mlb-world-series,97198386904437686233365008240862776088061985978868633985753031761819314050819,115758029931231236094839983180865390880103216852373586563909395731211028569507,0xbf84deec28d46eeae0fc474ac3dfeeb5fd0fb087647910324f8a32172e0c345c
Will Stokes Twins' next video get between 15-18 million views on week 1?,Yes,No,0.32,3,1.5,1.5,1.5,1.5,37.36,0.04,20,0.0,0.0,5.82,4.12,7.33,8.04,21.99,0.18,0.5,0.34,4.5,0.01,False,will-stokes-twins-next-video-get-between-15-18-million-views-on-week-1,62283252387838982528476671565053936933286474783036213570771253469614071757276,11630362581940997167272619568003046203268129817476455415440828573474370444893,0xf4429efb210a1d5159b7b85184234fdb6051c04458d4a726b12d54f71acc5f34
Will Yorgos Lanthimos be nominated for Best Director at the 98th Academy Awards?,Yes,No,0.07999999999999999,3,1.5,1.5,1.5,1.5,37.24,0.04,50,0.0,0.0,0.0,0.0,3.46,16.89,16.89,0.17,0.25,0.21,4.5,0.01,False,will-yorgos-lanthimos-be-nominated-for-best-director-at-the-98th-academy-awards,72373459189833361116634110271916258369020439760118098879290256341187337042079,54187648924820910531369074411798832345558892332764157680611984143903250918042,0x85afdbac4b1826115b6caa2029fb1011894226ee3bed5504b228678755f536e2
Will MGM Resorts receive a license for MGM Empire City casino in Yonkers?,Yes,No,0.5,3,1.5,1.5,1.5,1.5,18.72,0.08,20,0.0,0.0,0.0,3.56,2.52,6.37,13.85,0.36,0.86,0.61,3.5,0.01,False,will-mgm-resorts-receive-a-license-for-mgm-empire-city-casino-in-yonkers,104419542600522155604302158854417459867300800302138205592392551948429238920677,54854217224294294538060570686360264450624381004792683922618866359962190740440,0x7f3aebd48546cb388966f09ad8fccbe51c6c4641276ee56351325f0ce8100656
Will Trump agree to a tariff agreement with Brazil in October?,Yes,No,0.72,3,1.5,1.5,1.5,1.5,183.03,0.01,100,4.79,2.91,2.08,123.35,87.53,47.75,47.75,0.11,0.83,0.47,4.5,0.01,False,will-trump-agree-to-a-tariff-agreement-with-brazil-in-october,67008222746244413808191324384131839443982651847567967526859774837348458171433,41965482174850074663965173966362268053706627755686512145585784996692218805944,0x7f99d8d0221a775ca04249b00d86c02da178a897c7847c1c50972895758fcb8c
